CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
less_0,22,credits_paid_to_date,furniture,1423,less_100,less_1,2,female,none,1,car_other,30,none,own,1,skilled,1,none,yes,Risk
less_0,42,all_credits_paid_back,car_new,5065,500_to_1000,4_to_7,2,male,none,3,unknown,31,stores,own,2,unskilled,1,none,yes,Risk
less_0,15,no_credits,car_new,4251,less_100,less_1,1,female,none,2,car_other,31,stores,own,1,skilled,1,none,yes,Risk
no_checking,29,prior_payments_delayed,furniture,2015,100_to_500,1_to_4,3,female,none,3,real_estate,39,stores,own,1,unskilled,1,yes,yes,No Risk
less_0,23,prior_payments_delayed,retraining,5644,less_100,1_to_4,2,female,none,2,car_other,36,none,rent,1,skilled,1,none,yes,No Risk
no_checking,14,prior_payments_delayed,car_used,1321,greater_1000,1_to_4,3,male,none,4,real_estate,35,none,own,1,management_self-employed,1,yes,yes,Risk
no_checking,46,prior_payments_delayed,appliances,8297,unknown,greater_7,4,male,co-applicant,3,savings_insurance,47,none,own,2,skilled,1,none,yes,Risk
no_checking,65,outstanding_credit,other,6571,unknown,greater_7,4,female,none,4,unknown,37,none,own,1,skilled,2,yes,yes,Risk
no_checking,41,prior_payments_delayed,radio_tv,14817,100_to_500,1_to_4,3,male,co-applicant,3,unknown,46,stores,own,2,unskilled,2,yes,yes,No Risk
no_checking,53,prior_payments_delayed,furniture,12460,500_to_1000,4_to_7,4,male,co-applicant,3,car_other,26,none,free,2,skilled,1,yes,yes,Risk
0_to_200,18,credits_paid_to_date,car_used,1601,100_to_500,less_1,2,female,none,2,real_estate,33,none,rent,1,skilled,1,none,yes,No Risk
no_checking,18,outstanding_credit,appliances,2352,100_to_500,greater_7,4,male,none,3,car_other,47,none,own,1,management_self-employed,1,none,yes,Risk
0_to_200,29,credits_paid_to_date,retraining,4741,less_100,less_1,3,female,none,3,savings_insurance,28,none,own,1,skilled,1,none,yes,Risk
no_checking,18,credits_paid_to_date,furniture,1776,500_to_1000,greater_7,2,male,none,2,savings_insurance,39,none,own,1,skilled,1,none,yes,No Risk
no_checking,46,prior_payments_delayed,appliances,13398,100_to_500,4_to_7,4,male,co-applicant,3,car_other,53,none,free,2,skilled,1,yes,yes,No Risk
less_0,20,credits_paid_to_date,car_new,1999,less_100,4_to_7,1,male,none,1,car_other,20,bank,rent,1,unemployed,1,yes,yes,No Risk
no_checking,31,outstanding_credit,car_used,6468,greater_1000,1_to_4,3,male,none,4,savings_insurance,40,none,own,2,skilled,1,yes,yes,Risk
no_checking,44,prior_payments_delayed,furniture,3074,500_to_1000,greater_7,3,male,none,4,savings_insurance,27,none,own,1,skilled,1,none,yes,No Risk
no_checking,32,prior_payments_delayed,car_used,12191,100_to_500,1_to_4,4,male,none,5,car_other,43,none,free,2,management_self-employed,1,none,yes,Risk
no_checking,48,outstanding_credit,radio_tv,14769,unknown,greater_7,5,male,co-applicant,4,unknown,48,stores,own,2,unemployed,2,yes,yes,Risk
no_checking,35,prior_payments_delayed,radio_tv,6973,500_to_1000,4_to_7,4,male,none,4,savings_insurance,47,none,own,2,management_self-employed,2,yes,yes,Risk
less_0,16,all_credits_paid_back,car_new,3410,less_100,less_1,2,female,none,1,savings_insurance,19,stores,own,1,skilled,1,none,yes,No Risk
greater_200,32,outstanding_credit,appliances,5790,100_to_500,4_to_7,3,male,none,2,car_other,46,bank,own,1,unemployed,1,yes,yes,No Risk
no_checking,19,credits_paid_to_date,retraining,5619,less_100,1_to_4,4,male,co-applicant,4,savings_insurance,33,none,own,1,skilled,1,yes,yes,Risk
no_checking,36,prior_payments_delayed,appliances,7615,100_to_500,4_to_7,3,female,none,2,unknown,40,none,own,2,skilled,1,yes,yes,Risk
less_0,16,prior_payments_delayed,appliances,350,500_to_1000,4_to_7,2,male,none,3,car_other,28,stores,own,1,skilled,1,none,yes,No Risk
less_0,24,credits_paid_to_date,furniture,2955,less_100,4_to_7,3,male,none,2,savings_insurance,34,bank,own,1,unemployed,2,none,yes,Risk
no_checking,35,prior_payments_delayed,appliances,9037,100_to_500,4_to_7,3,male,none,4,car_other,43,none,own,1,skilled,1,none,yes,Risk
less_0,22,credits_paid_to_date,car_used,350,less_100,4_to_7,3,female,none,2,real_estate,40,none,free,2,skilled,1,none,yes,No Risk
no_checking,35,prior_payments_delayed,radio_tv,6329,100_to_500,less_1,4,male,none,4,savings_insurance,28,none,own,1,management_self-employed,2,yes,yes,No Risk
no_checking,48,prior_payments_delayed,other,11123,500_to_1000,1_to_4,4,male,none,4,savings_insurance,39,none,own,2,management_self-employed,1,none,yes,No Risk
less_0,7,all_credits_paid_back,car_used,350,less_100,1_to_4,2,male,none,2,savings_insurance,28,stores,rent,1,skilled,1,none,yes,Risk
less_0,18,all_credits_paid_back,appliances,2003,less_100,unemployed,1,female,none,1,car_other,25,stores,own,1,skilled,1,none,yes,Risk
greater_200,6,credits_paid_to_date,car_used,350,less_100,4_to_7,3,male,none,2,savings_insurance,42,none,rent,1,skilled,1,none,yes,Risk
less_0,14,all_credits_paid_back,furniture,2822,less_100,less_1,1,female,none,1,car_other,34,bank,own,1,unemployed,1,none,yes,No Risk
less_0,5,credits_paid_to_date,car_new,350,less_100,unemployed,1,female,none,1,real_estate,29,none,rent,1,skilled,1,none,yes,Risk
0_to_200,20,prior_payments_delayed,radio_tv,2692,100_to_500,less_1,3,female,none,2,car_other,46,none,rent,1,skilled,2,none,yes,Risk
less_0,6,prior_payments_delayed,car_used,3539,less_100,1_to_4,2,male,none,2,real_estate,23,none,rent,1,skilled,1,none,yes,Risk
greater_200,37,prior_payments_delayed,vacation,9916,500_to_1000,4_to_7,4,female,none,4,unknown,49,none,own,2,skilled,2,yes,yes,Risk
no_checking,55,prior_payments_delayed,repairs,12440,greater_1000,greater_7,5,male,co-applicant,4,car_other,35,none,free,2,skilled,1,yes,yes,No Risk
no_checking,31,prior_payments_delayed,radio_tv,6150,100_to_500,less_1,3,female,none,3,real_estate,41,none,own,1,management_self-employed,1,none,yes,No Risk
no_checking,41,outstanding_credit,appliances,11244,500_to_1000,1_to_4,3,male,none,3,unknown,41,none,own,1,skilled,1,none,yes,Risk
less_0,26,credits_paid_to_date,car_used,8681,500_to_1000,4_to_7,4,male,guarantor,4,unknown,40,stores,own,2,unskilled,1,yes,yes,No Risk
0_to_200,36,prior_payments_delayed,car_used,5532,greater_1000,greater_7,4,male,none,4,savings_insurance,36,none,own,2,skilled,1,none,yes,No Risk
less_0,20,prior_payments_delayed,car_used,2970,less_100,1_to_4,2,male,none,3,car_other,32,none,own,2,skilled,1,none,yes,Risk
less_0,5,all_credits_paid_back,car_new,350,less_100,unemployed,1,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
no_checking,37,outstanding_credit,appliances,7307,500_to_1000,greater_7,4,male,co-applicant,3,car_other,52,none,free,2,skilled,1,yes,yes,Risk
less_0,16,credits_paid_to_date,furniture,1786,500_to_1000,1_to_4,3,male,none,1,real_estate,23,none,own,1,skilled,1,none,yes,No Risk
0_to_200,18,credits_paid_to_date,furniture,1503,less_100,4_to_7,3,male,none,2,savings_insurance,35,none,rent,1,skilled,1,none,yes,No Risk
less_0,5,all_credits_paid_back,radio_tv,350,less_100,unemployed,2,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,Risk
0_to_200,20,credits_paid_to_date,vacation,3767,less_100,1_to_4,3,female,none,2,car_other,36,none,free,1,skilled,1,none,yes,No Risk
greater_200,13,credits_paid_to_date,furniture,2335,less_100,less_1,2,female,none,2,real_estate,20,none,own,1,skilled,1,none,yes,No Risk
0_to_200,37,credits_paid_to_date,radio_tv,7750,less_100,4_to_7,3,female,none,3,unknown,52,stores,own,2,skilled,1,yes,yes,No Risk
0_to_200,26,credits_paid_to_date,car_used,5198,less_100,less_1,3,male,none,2,real_estate,29,none,rent,1,skilled,1,none,yes,No Risk
no_checking,41,outstanding_credit,repairs,8863,unknown,greater_7,5,male,co-applicant,4,car_other,48,none,free,2,management_self-employed,2,yes,yes,Risk
less_0,9,credits_paid_to_date,vacation,350,less_100,4_to_7,3,female,none,3,real_estate,19,none,own,1,skilled,1,none,yes,No Risk
less_0,42,credits_paid_to_date,business,3357,less_100,less_1,3,male,none,3,savings_insurance,22,none,own,1,skilled,1,none,yes,No Risk
no_checking,48,prior_payments_delayed,other,8180,unknown,greater_7,5,male,none,3,savings_insurance,49,none,own,3,skilled,2,yes,yes,Risk
less_0,18,all_credits_paid_back,furniture,350,less_100,less_1,2,male,none,1,real_estate,30,none,own,2,skilled,1,none,yes,Risk
no_checking,32,prior_payments_delayed,radio_tv,10621,500_to_1000,1_to_4,4,male,none,4,car_other,38,none,own,2,management_self-employed,1,none,yes,Risk
0_to_200,16,prior_payments_delayed,radio_tv,3434,less_100,4_to_7,3,male,none,2,car_other,39,none,own,2,skilled,1,none,yes,No Risk
0_to_200,5,prior_payments_delayed,car_used,499,less_100,less_1,2,female,none,2,savings_insurance,34,bank,rent,1,unskilled,1,none,yes,No Risk
0_to_200,23,prior_payments_delayed,retraining,10508,500_to_1000,1_to_4,3,male,none,3,unknown,46,none,free,3,skilled,1,yes,yes,Risk
less_0,18,prior_payments_delayed,furniture,2375,less_100,1_to_4,3,female,none,3,car_other,19,none,own,1,skilled,1,none,yes,No Risk
0_to_200,18,credits_paid_to_date,car_new,2714,500_to_1000,1_to_4,2,male,co-applicant,4,car_other,36,none,free,1,skilled,1,yes,yes,Risk
less_0,5,all_credits_paid_back,car_new,3896,less_100,less_1,2,female,none,1,savings_insurance,31,none,own,1,skilled,1,none,yes,No Risk
no_checking,45,outstanding_credit,appliances,9794,unknown,greater_7,5,male,co-applicant,4,unknown,52,stores,own,2,unskilled,2,yes,yes,Risk
no_checking,29,prior_payments_delayed,furniture,5300,greater_1000,4_to_7,4,male,guarantor,5,car_other,38,none,own,1,skilled,1,yes,yes,Risk
0_to_200,29,prior_payments_delayed,retraining,4149,less_100,less_1,2,male,none,3,real_estate,32,none,own,1,skilled,1,yes,yes,No Risk
less_0,15,all_credits_paid_back,furniture,350,less_100,unemployed,2,female,none,2,savings_insurance,27,bank,rent,1,unemployed,2,yes,yes,No Risk
no_checking,32,outstanding_credit,education,7859,500_to_1000,1_to_4,4,male,none,3,car_other,45,none,own,1,management_self-employed,1,none,yes,No Risk
less_0,5,all_credits_paid_back,vacation,2889,less_100,1_to_4,2,female,none,1,savings_insurance,19,bank,rent,1,unskilled,1,none,yes,No Risk
no_checking,45,prior_payments_delayed,furniture,7310,unknown,greater_7,4,male,guarantor,3,savings_insurance,53,none,free,2,skilled,2,yes,yes,No Risk
no_checking,32,credits_paid_to_date,car_used,2878,500_to_1000,4_to_7,3,male,none,4,real_estate,30,stores,own,2,skilled,1,none,yes,No Risk
less_0,18,all_credits_paid_back,car_used,350,less_100,1_to_4,1,female,none,2,car_other,33,stores,rent,1,unskilled,1,none,yes,No Risk
no_checking,10,credits_paid_to_date,vacation,6227,less_100,4_to_7,2,male,none,3,car_other,40,none,own,1,management_self-employed,1,yes,yes,Risk
0_to_200,31,outstanding_credit,radio_tv,4327,500_to_1000,less_1,2,male,none,3,savings_insurance,37,bank,rent,2,unskilled,2,yes,yes,No Risk
0_to_200,14,credits_paid_to_date,vacation,5047,less_100,1_to_4,3,female,none,2,savings_insurance,19,none,rent,1,skilled,1,none,yes,Risk
0_to_200,18,prior_payments_delayed,car_new,3652,less_100,4_to_7,4,male,none,2,savings_insurance,33,bank,rent,1,unskilled,1,yes,yes,No Risk
no_checking,10,credits_paid_to_date,furniture,648,greater_1000,4_to_7,3,male,none,4,savings_insurance,42,none,own,2,skilled,1,yes,yes,No Risk
greater_200,45,all_credits_paid_back,car_used,7291,less_100,4_to_7,3,male,none,2,savings_insurance,31,none,own,2,skilled,1,yes,yes,No Risk
0_to_200,20,credits_paid_to_date,furniture,2133,less_100,less_1,1,female,none,1,savings_insurance,36,stores,own,1,skilled,1,none,yes,No Risk
0_to_200,28,credits_paid_to_date,radio_tv,3896,less_100,less_1,3,male,none,2,savings_insurance,28,none,own,1,skilled,1,none,yes,No Risk
no_checking,20,credits_paid_to_date,repairs,9669,less_100,less_1,4,female,none,3,car_other,34,none,own,1,management_self-employed,1,yes,yes,Risk
less_0,20,all_credits_paid_back,car_new,350,100_to_500,less_1,1,male,none,1,savings_insurance,20,none,rent,1,skilled,1,none,yes,Risk
less_0,19,credits_paid_to_date,furniture,350,less_100,4_to_7,2,male,none,1,savings_insurance,27,stores,own,1,skilled,1,none,yes,No Risk
no_checking,53,outstanding_credit,retraining,9343,500_to_1000,4_to_7,5,male,none,5,savings_insurance,44,stores,free,2,unskilled,1,yes,yes,Risk
0_to_200,33,credits_paid_to_date,radio_tv,350,less_100,4_to_7,2,male,none,2,real_estate,22,stores,own,1,skilled,1,none,yes,Risk
less_0,20,prior_payments_delayed,car_new,1608,less_100,1_to_4,3,male,none,2,savings_insurance,45,none,own,2,skilled,1,yes,yes,Risk
no_checking,32,prior_payments_delayed,repairs,5856,100_to_500,1_to_4,4,female,none,2,car_other,24,none,own,1,skilled,1,none,yes,No Risk
no_checking,52,outstanding_credit,retraining,10984,greater_1000,greater_7,4,male,guarantor,4,unknown,56,none,free,2,skilled,1,yes,yes,Risk
no_checking,16,all_credits_paid_back,furniture,1089,less_100,4_to_7,2,male,none,2,savings_insurance,22,none,rent,1,skilled,1,none,yes,No Risk
no_checking,65,outstanding_credit,appliances,10420,unknown,greater_7,4,male,co-applicant,4,unknown,56,bank,own,3,unemployed,2,yes,yes,Risk
0_to_200,32,outstanding_credit,furniture,1741,100_to_500,1_to_4,2,female,none,3,savings_insurance,40,stores,free,2,skilled,1,yes,yes,No Risk
0_to_200,32,all_credits_paid_back,radio_tv,3400,500_to_1000,1_to_4,3,male,none,3,savings_insurance,29,none,own,1,skilled,1,none,yes,No Risk
less_0,5,all_credits_paid_back,car_new,350,less_100,unemployed,1,female,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
no_checking,32,outstanding_credit,furniture,7519,500_to_1000,greater_7,4,male,none,4,unknown,45,none,free,2,skilled,2,yes,yes,Risk
no_checking,40,prior_payments_delayed,appliances,4834,500_to_1000,less_1,3,female,co-applicant,3,savings_insurance,27,none,own,1,skilled,1,yes,yes,Risk
no_checking,45,prior_payments_delayed,repairs,7841,unknown,4_to_7,4,male,none,5,car_other,42,none,rent,2,skilled,1,yes,yes,No Risk
0_to_200,5,prior_payments_delayed,car_new,350,less_100,1_to_4,2,male,none,2,real_estate,29,none,own,1,skilled,1,none,yes,No Risk
0_to_200,24,credits_paid_to_date,retraining,7515,less_100,4_to_7,3,female,none,1,unknown,42,none,own,1,skilled,2,none,yes,No Risk
less_0,5,no_credits,car_new,350,less_100,unemployed,1,male,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,Risk
no_checking,62,outstanding_credit,other,9916,500_to_1000,greater_7,5,male,co-applicant,4,unknown,53,none,free,2,skilled,2,yes,yes,Risk
0_to_200,23,credits_paid_to_date,car_new,350,less_100,unemployed,2,female,none,2,real_estate,24,none,own,1,skilled,1,none,yes,No Risk
no_checking,32,outstanding_credit,furniture,8709,unknown,4_to_7,4,male,co-applicant,5,car_other,54,none,free,3,management_self-employed,2,yes,yes,Risk
0_to_200,16,credits_paid_to_date,car_new,3806,500_to_1000,1_to_4,3,male,none,2,savings_insurance,38,none,own,2,skilled,1,none,yes,No Risk
0_to_200,22,prior_payments_delayed,car_new,5863,greater_1000,greater_7,4,male,none,3,unknown,43,none,own,2,skilled,1,none,yes,No Risk
0_to_200,6,no_credits,car_new,6797,less_100,unemployed,1,female,none,3,car_other,25,none,own,1,skilled,1,none,yes,Risk
0_to_200,27,prior_payments_delayed,retraining,7431,greater_1000,greater_7,3,male,none,3,unknown,40,none,own,2,skilled,1,none,yes,No Risk
0_to_200,7,prior_payments_delayed,car_new,4832,less_100,4_to_7,3,male,co-applicant,4,car_other,48,none,own,1,skilled,1,none,yes,Risk
no_checking,37,prior_payments_delayed,radio_tv,14298,500_to_1000,less_1,3,male,none,4,car_other,38,none,own,2,management_self-employed,1,none,yes,No Risk
0_to_200,33,all_credits_paid_back,furniture,4782,less_100,1_to_4,3,male,none,1,savings_insurance,19,stores,own,1,unskilled,1,none,yes,No Risk
0_to_200,16,prior_payments_delayed,radio_tv,5474,less_100,less_1,3,male,none,3,car_other,36,stores,own,2,unskilled,1,none,yes,No Risk
less_0,5,credits_paid_to_date,car_new,350,less_100,1_to_4,2,female,none,2,real_estate,22,none,own,1,skilled,1,none,yes,No Risk
no_checking,59,outstanding_credit,other,11849,500_to_1000,4_to_7,5,male,none,4,car_other,47,none,free,2,management_self-employed,1,none,yes,Risk
greater_200,10,credits_paid_to_date,vacation,3743,less_100,less_1,3,female,none,2,savings_insurance,21,none,own,2,management_self-employed,1,none,yes,No Risk
no_checking,35,prior_payments_delayed,appliances,8250,100_to_500,greater_7,5,female,none,4,car_other,46,none,free,2,skilled,1,none,yes,No Risk
greater_200,31,credits_paid_to_date,radio_tv,7839,less_100,less_1,4,male,none,3,car_other,38,stores,own,2,unskilled,1,none,yes,No Risk
0_to_200,27,credits_paid_to_date,car_new,3418,less_100,4_to_7,3,male,none,4,real_estate,47,none,own,1,management_self-employed,1,none,yes,No Risk
